ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start
EVRG,ES,2023-05-10,2023-09-29,short_A_long_B,-0.04995090863318008,-0.05995090863318008,0.01,False,142,87,2022-04-01,2023-04-03
LNT,CMS,2023-05-01,2023-09-29,short_A_long_B,-0.007997967510772974,-0.017997967510772976,0.01,False,151,87,2022-04-01,2023-04-03
AEP,ES,2023-08-10,2023-09-29,short_A_long_B,-0.041838519803507834,-0.051838519803507836,0.01,False,50,87,2022-04-01,2023-04-03
AEP,XEL,2023-05-25,2023-06-21,long_A_short_B,0.050663843063586955,0.04066384306358695,0.01,True,27,87,2022-04-01,2023-04-03
AEP,XEL,2023-08-23,2023-09-20,short_A_long_B,0.03898747150912496,0.028987471509124958,0.01,True,28,87,2022-04-01,2023-04-03
AEE,ETR,2023-04-26,2023-05-15,short_A_long_B,0.05806822911058629,0.04806822911058629,0.01,True,19,87,2022-04-01,2023-04-03
AEE,ETR,2023-06-28,2023-09-28,short_A_long_B,0.04632954119579402,0.03632954119579402,0.01,True,92,87,2022-04-01,2023-04-03
MCO,SPGI,2023-07-21,2023-07-27,long_A_short_B,0.04736698616795865,0.037366986167958645,0.01,True,6,87,2022-04-01,2023-04-03
GOOGL,GOOG,2023-06-30,2023-07-10,long_A_short_B,0.0067413576427635125,-0.0032586423572364877,0.01,True,10,88,2022-05-02,2023-05-01
GOOGL,GOOG,2023-10-12,2023-10-31,long_A_short_B,-0.0002954884169438232,-0.010295488416943823,0.01,False,19,88,2022-05-02,2023-05-01
NWSA,NWS,2023-08-02,2023-10-31,long_A_short_B,-0.017917212734180676,-0.02791721273418068,0.01,False,90,88,2022-05-02,2023-05-01
AEE,XEL,2023-05-31,2023-06-02,long_A_short_B,0.03416363604323602,0.02416363604323602,0.01,True,2,88,2022-05-02,2023-05-01
AEE,XEL,2023-06-09,2023-10-30,short_A_long_B,0.027583270231130275,0.017583270231130273,0.01,True,143,88,2022-05-02,2023-05-01
CMS,DUK,2023-05-22,2023-08-10,short_A_long_B,0.027562425632944976,0.017562425632944974,0.01,True,80,88,2022-05-02,2023-05-01
CMS,DUK,2023-09-12,2023-10-31,long_A_short_B,0.004900680551588543,-0.005099319448411457,0.01,False,49,88,2022-05-02,2023-05-01
AVB,EQR,2023-09-21,2023-10-31,short_A_long_B,-0.015199793766500824,-0.025199793766500826,0.01,False,40,88,2022-05-02,2023-05-01
AEP,XEL,2023-06-21,2023-09-28,short_A_long_B,0.03068971956088251,0.02068971956088251,0.01,True,99,88,2022-05-02,2023-05-01
AEP,XEL,2023-10-05,2023-10-31,long_A_short_B,0.009622886318307211,-0.0003771136816927891,0.01,False,26,88,2022-05-02,2023-05-01
AEP,WEC,2023-06-13,2023-10-31,long_A_short_B,0.008448964933094993,-0.0015510350669050068,0.01,False,140,88,2022-05-02,2023-05-01
AEE,AEP,2023-05-15,2023-05-25,long_A_short_B,0.03593038870656862,0.025930388706568615,0.01,True,10,88,2022-05-02,2023-05-01
AEE,AEP,2023-07-19,2023-10-31,short_A_long_B,-0.001803418129445733,-0.011803418129445733,0.01,False,104,88,2022-05-02,2023-05-01
LNT,ES,2023-06-09,2023-10-31,short_A_long_B,-0.16036898572185132,-0.17036898572185133,0.01,False,144,88,2022-05-02,2023-05-01
RSG,WM,2023-07-26,2023-10-31,short_A_long_B,0.0258472473530037,0.015847247353003698,0.01,False,97,88,2022-05-02,2023-05-01
WEC,XEL,2023-06-08,2023-10-31,short_A_long_B,0.03138661487348249,0.021386614873482486,0.01,False,145,88,2022-05-02,2023-05-01
AEP,ES,2023-09-06,2023-10-31,short_A_long_B,-0.09750829547723427,-0.10750829547723427,0.01,False,55,88,2022-05-02,2023-05-01
NI,WEC,2023-08-31,2023-10-31,short_A_long_B,0.017897130776566073,0.007897130776566072,0.01,False,61,88,2022-05-02,2023-05-01
AEE,DUK,2023-08-11,2023-10-31,long_A_short_B,-0.014935562625409737,-0.02493556262540974,0.01,False,81,88,2022-05-02,2023-05-01
LNT,AEP,2023-06-09,2023-10-31,short_A_long_B,-0.020812304775081225,-0.030812304775081227,0.01,False,144,88,2022-05-02,2023-05-01
DUK,EVRG,2023-09-08,2023-10-31,short_A_long_B,-0.06558651943161242,-0.07558651943161242,0.01,False,53,88,2022-05-02,2023-05-01
CMS,EVRG,2023-07-25,2023-10-31,short_A_long_B,-0.05438944838270121,-0.0643894483827012,0.01,False,98,88,2022-05-02,2023-05-01
EVRG,XEL,2023-06-07,2023-09-28,short_A_long_B,0.04578976848382732,0.03578976848382732,0.01,True,113,88,2022-05-02,2023-05-01
EVRG,XEL,2023-10-18,2023-10-31,long_A_short_B,-0.00041110277354095004,-0.01041110277354095,0.01,False,13,88,2022-05-02,2023-05-01
GOOGL,GOOG,2023-06-30,2023-07-10,long_A_short_B,0.0067413576427635125,-0.0032586423572364877,0.01,True,10,89,2022-06-01,2023-06-01
GOOGL,GOOG,2023-10-16,2023-11-30,long_A_short_B,-0.00046723838880735613,-0.010467238388807356,0.01,False,45,89,2022-06-01,2023-06-01
NWSA,NWS,2023-08-02,2023-11-30,long_A_short_B,-0.028621262085564148,-0.03862126208556415,0.01,False,120,89,2022-06-01,2023-06-01
AEE,XEL,2023-06-07,2023-11-16,short_A_long_B,0.027369229159865838,0.017369229159865836,0.01,True,162,89,2022-06-01,2023-06-01
AEP,XEL,2023-06-21,2023-10-04,short_A_long_B,0.04315171644005833,0.03315171644005833,0.01,True,105,89,2022-06-01,2023-06-01
CNP,XEL,2023-06-13,2023-11-01,short_A_long_B,0.03339156110484509,0.02339156110484509,0.01,True,141,89,2022-06-01,2023-06-01
CNP,XEL,2023-11-27,2023-11-30,short_A_long_B,-0.004997292490266814,-0.014997292490266814,0.01,False,3,89,2022-06-01,2023-06-01
AEP,WEC,2023-10-05,2023-11-06,long_A_short_B,0.06740119837249647,0.05740119837249647,0.01,True,32,89,2022-06-01,2023-06-01
WEC,XEL,2023-06-08,2023-11-01,short_A_long_B,0.03846798012706465,0.028467980127064647,0.01,True,146,89,2022-06-01,2023-06-01
AEE,AEP,2023-07-21,2023-11-09,short_A_long_B,0.029044017873317785,0.019044017873317783,0.01,True,111,89,2022-06-01,2023-06-01
AEP,ETR,2023-07-10,2023-07-20,short_A_long_B,0.046975181718020176,0.036975181718020174,0.01,True,10,89,2022-06-01,2023-06-01
AEP,ETR,2023-09-28,2023-11-30,long_A_short_B,-0.03433636391565953,-0.04433636391565953,0.01,False,63,89,2022-06-01,2023-06-01
LNT,CMS,2023-10-16,2023-11-10,short_A_long_B,0.057744003348085715,0.04774400334808571,0.01,True,25,89,2022-06-01,2023-06-01
LNT,DTE,2023-09-07,2023-11-22,short_A_long_B,0.041663440502278326,0.031663440502278324,0.01,True,76,89,2022-06-01,2023-06-01
KO,CL,2023-10-05,2023-11-30,long_A_short_B,-0.020074683050445463,-0.030074683050445465,0.01,False,56,89,2022-06-01,2023-06-01
AEP,CNP,2023-09-07,2023-11-02,long_A_short_B,0.04102478988253655,0.031024789882536548,0.01,True,56,89,2022-06-01,2023-06-01
AEE,WEC,2023-07-21,2023-08-10,short_A_long_B,0.03130202777466495,0.02130202777466495,0.01,True,20,89,2022-06-01,2023-06-01
RSG,WM,2023-07-26,2023-11-30,short_A_long_B,-0.016932544064407917,-0.02693254406440792,0.01,False,127,89,2022-06-01,2023-06-01
CMS,DUK,2023-08-08,2023-11-30,long_A_short_B,-0.0353703207691618,-0.0453703207691618,0.01,False,114,89,2022-06-01,2023-06-01
LNT,ES,2023-08-08,2023-11-30,short_A_long_B,-0.09376285383424965,-0.10376285383424964,0.01,False,114,89,2022-06-01,2023-06-01
DTE,ES,2023-08-02,2023-11-30,short_A_long_B,-0.06867014685649853,-0.07867014685649852,0.01,False,120,89,2022-06-01,2023-06-01
AVB,EQR,2023-10-17,2023-11-30,short_A_long_B,-0.019822477649932724,-0.029822477649932726,0.01,False,44,89,2022-06-01,2023-06-01
GOOGL,GOOG,2023-10-16,2023-12-29,long_A_short_B,0.001109628996003753,-0.008890371003996247,0.01,False,74,90,2022-07-01,2023-07-03
NWSA,NWS,2023-08-14,2023-12-29,long_A_short_B,-0.028782851371020435,-0.03878285137102044,0.01,False,137,90,2022-07-01,2023-07-03
AEE,XEL,2023-07-21,2023-09-28,short_A_long_B,0.030092158474885333,0.02009215847488533,0.01,True,69,90,2022-07-01,2023-07-03
AEE,XEL,2023-11-01,2023-12-29,long_A_short_B,-0.08215915745402858,-0.09215915745402857,0.01,False,58,90,2022-07-01,2023-07-03
AEP,XEL,2023-10-03,2023-12-29,long_A_short_B,0.010167005922219863,0.00016700592221986256,0.01,False,87,90,2022-07-01,2023-07-03
LNT,WEC,2023-11-08,2023-12-29,short_A_long_B,0.015261598347272143,0.005261598347272143,0.01,False,51,90,2022-07-01,2023-07-03
CMS,DUK,2023-08-08,2023-12-29,long_A_short_B,-0.06539213488650963,-0.07539213488650963,0.01,False,143,90,2022-07-01,2023-07-03
AEP,ETR,2023-07-27,2023-12-29,long_A_short_B,-0.025581015207688296,-0.0355810152076883,0.01,False,155,90,2022-07-01,2023-07-03
AEE,WEC,2023-12-14,2023-12-29,long_A_short_B,-0.03040577935867006,-0.04040577935867006,0.01,False,15,90,2022-07-01,2023-07-03
WEC,XEL,2023-08-17,2023-09-26,short_A_long_B,0.04052382825562073,0.03052382825562073,0.01,True,40,90,2022-07-01,2023-07-03
WEC,XEL,2023-11-01,2023-12-29,long_A_short_B,-0.0017440191258673021,-0.011744019125867302,0.01,False,58,90,2022-07-01,2023-07-03
AEE,AEP,2023-07-27,2023-11-10,short_A_long_B,0.043706489167549156,0.033706489167549154,0.01,True,106,90,2022-07-01,2023-07-03
AEE,AEP,2023-12-14,2023-12-29,long_A_short_B,-0.010402665602293748,-0.02040266560229375,0.01,False,15,90,2022-07-01,2023-07-03
CMS,EXC,2023-09-01,2023-11-17,long_A_short_B,0.06249622233215424,0.05249622233215424,0.01,True,77,90,2022-07-01,2023-07-03
CMS,EXC,2023-12-14,2023-12-29,short_A_long_B,-0.03767554688819097,-0.04767554688819097,0.01,False,15,90,2022-07-01,2023-07-03
EVRG,WEC,2023-09-11,2023-12-29,long_A_short_B,-0.0024030314030123456,-0.012403031403012346,0.01,False,109,90,2022-07-01,2023-07-03
LNT,EVRG,2023-09-11,2023-12-29,short_A_long_B,-0.01637571838380647,-0.026375718383806472,0.01,False,109,90,2022-07-01,2023-07-03
EVRG,XEL,2023-08-22,2023-09-11,short_A_long_B,0.057114550338977055,0.04711455033897705,0.01,True,20,90,2022-07-01,2023-07-03
EVRG,XEL,2023-10-02,2023-12-29,long_A_short_B,-0.035255899980958016,-0.04525589998095802,0.01,False,88,90,2022-07-01,2023-07-03
AEE,EVRG,2023-09-11,2023-12-14,short_A_long_B,0.06387039922863136,0.053870399228631356,0.01,True,94,90,2022-07-01,2023-07-03
AEE,NI,2023-12-14,2023-12-29,long_A_short_B,-0.030850994916378882,-0.040850994916378884,0.01,False,15,90,2022-07-01,2023-07-03
CMS,DTE,2023-11-10,2023-12-11,short_A_long_B,0.07226674331516092,0.06226674331516092,0.01,True,31,90,2022-07-01,2023-07-03
APH,FTV,2023-10-25,2023-12-29,short_A_long_B,-0.10603971307874227,-0.11603971307874227,0.01,False,65,90,2022-07-01,2023-07-03
DUK,ES,2023-08-08,2023-12-29,short_A_long_B,-0.13567279426674228,-0.1456727942667423,0.01,False,143,90,2022-07-01,2023-07-03
FE,PPL,2023-12-15,2023-12-29,long_A_short_B,-0.016088247306811243,-0.026088247306811245,0.01,False,14,90,2022-07-01,2023-07-03
GOOGL,GOOG,2023-08-30,2024-01-31,long_A_short_B,-0.004508625008576184,-0.014508625008576184,0.01,False,154,91,2022-08-01,2023-08-01
NWSA,NWS,2023-08-30,2024-01-31,long_A_short_B,-0.014444615549740192,-0.024444615549740194,0.01,False,154,91,2022-08-01,2023-08-01
AEP,XEL,2023-08-23,2023-09-22,short_A_long_B,0.05106776278497149,0.04106776278497149,0.01,True,30,91,2022-08-01,2023-08-01
