ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start,beta
AMT,AWK,2020-04-03,2020-07-22,long_B_short_A,0.17991563896702145,0.16991563896702144,0.01,True,110,49,2019-02-01,2020-02-03,0.5505182077370844
BDX,HRL,2020-02-06,2020-07-31,short_B_long_A,-0.49272258672191716,-0.5027225867219172,0.01,False,176,49,2019-02-01,2020-02-03,0.1551125979575143
LH,MDLZ,2020-02-27,2020-03-10,long_B_short_A,0.027834899094513286,0.017834899094513287,0.01,True,12,49,2019-02-01,2020-02-03,0.3008126690159324
LH,MDLZ,2020-03-12,2020-04-24,short_B_long_A,-0.09842507088620733,-0.10842507088620733,0.01,True,43,49,2019-02-01,2020-02-03,0.3008126690159324
LH,MDLZ,2020-04-27,2020-05-01,long_B_short_A,0.01764491611038143,0.0076449161103814296,0.01,True,4,49,2019-02-01,2020-02-03,0.3008126690159324
LH,MDLZ,2020-05-20,2020-06-18,long_B_short_A,0.07082249209458628,0.06082249209458628,0.01,True,29,49,2019-02-01,2020-02-03,0.3008126690159324
LH,MDLZ,2020-07-08,2020-07-31,long_B_short_A,0.0511132561901987,0.0411132561901987,0.01,False,23,49,2019-02-01,2020-02-03,0.3008126690159324
LNT,ALL,2020-02-05,2020-02-25,short_B_long_A,0.019951945996291007,0.009951945996291007,0.01,True,20,49,2019-02-01,2020-02-03,2.0118492128024883
LNT,ALL,2020-03-05,2020-04-20,long_B_short_A,0.20648976043895212,0.1964897604389521,0.01,True,46,49,2019-02-01,2020-02-03,2.0118492128024883
LNT,ALL,2020-05-06,2020-05-13,short_B_long_A,0.03932725262199879,0.02932725262199879,0.01,True,7,49,2019-02-01,2020-02-03,2.0118492128024883
LNT,ALL,2020-06-03,2020-06-05,long_B_short_A,0.06616054915557261,0.05616054915557261,0.01,True,2,49,2019-02-01,2020-02-03,2.0118492128024883
LNT,ALL,2020-06-11,2020-07-31,long_B_short_A,-0.23319432311657926,-0.24319432311657926,0.01,False,50,49,2019-02-01,2020-02-03,2.0118492128024883
NWSA,NWS,2020-03-09,2020-03-17,short_B_long_A,0.05409460710992832,0.04409460710992832,0.01,True,8,50,2019-03-01,2020-03-02,1.0740774824953436
