Date,Daily_RF
2019-11-08,5.947450549981248e-05
2019-11-11,5.959178830905465e-05
2019-11-12,6.037357927723974e-05
2019-11-13,6.045174900570771e-05
2019-11-14,6.017814591618986e-05
2019-11-15,6.017814591618986e-05
2019-11-18,5.9982702968364165e-05
2019-11-19,6.0060880366030744e-05
2019-11-20,5.986543166569547e-05
2019-11-21,6.025631947892407e-05
2019-11-22,6.0764417243230895e-05
2019-11-25,6.084257930427661e-05
2019-11-26,6.162412956567387e-05
2019-11-27,6.162412956567387e-05
2019-11-29,6.064716894726985e-05
2019-12-02,6.0569003052624026e-05
2019-12-03,6.0569003052624026e-05
2019-12-04,5.900534439695626e-05
2019-12-05,5.8809843909601867e-05
2019-12-06,5.8301496811186126e-05
2019-12-09,5.900534439695626e-05
2019-12-10,5.9669973377252106e-05
2019-12-11,5.986543166569547e-05
2019-12-12,6.025631947892407e-05
2019-12-13,5.9982702968364165e-05
2019-12-16,6.0060880366030744e-05
2019-12-17,6.025631947892407e-05
2019-12-18,5.978725043287447e-05
2019-12-19,6.037357927723974e-05
2019-12-20,6.017814591618986e-05
2019-12-23,5.986543166569547e-05
2019-12-24,6.0569003052624026e-05
2019-12-26,6.045174900570771e-05
2019-12-27,5.978725043287447e-05
2019-12-30,5.8692538080107326e-05
2019-12-31,5.927902803226637e-05
2020-01-02,5.888804432330197e-05
2020-01-03,5.802774601804117e-05
2020-01-06,5.861433382881032e-05
2020-01-07,5.908354097372559e-05
2020-01-08,5.8809843909601867e-05
2020-01-09,5.908354097372559e-05
2020-01-10,5.900534439695626e-05
2020-01-13,5.947450549981248e-05
2020-01-14,6.025631947892407e-05
2020-01-15,5.9396316595794474e-05
2020-01-16,5.978725043287447e-05
2020-01-17,5.9982702968364165e-05
2020-01-21,5.920083529198372e-05
2020-01-22,5.959178830905465e-05
2020-01-23,5.9669973377252106e-05
2020-01-24,5.8692538080107326e-05
2020-01-27,5.927902803226637e-05
2020-01-28,6.025631947892407e-05
2020-01-29,5.986543166569547e-05
2020-01-30,6.017814591618986e-05
2020-01-31,5.947450549981248e-05
2020-02-03,5.978725043287447e-05
2020-02-04,6.0569003052624026e-05
2020-02-05,5.986543166569547e-05
2020-02-06,6.025631947892407e-05
2020-02-07,5.978725043287447e-05
2020-02-10,5.986543166569547e-05
2020-02-11,6.0569003052624026e-05
2020-02-12,6.045174900570771e-05
2020-02-13,6.084257930427661e-05
2020-02-14,6.045174900570771e-05
2020-02-18,6.045174900570771e-05
2020-02-19,6.0764417243230895e-05
2020-02-20,6.0569003052624026e-05
2020-02-21,5.978725043287447e-05
2020-02-24,5.920083529198372e-05
2020-02-25,5.8692538080107326e-05
2020-02-26,5.822328488402917e-05
2020-02-27,5.4976090893443796e-05
2020-02-28,4.851296167984742e-05
2020-03-02,4.4787002601021086e-05
2020-03-03,3.6263037412442856e-05
2020-03-04,2.6696074063359276e-05
2020-03-05,2.354142367244627e-05
2020-03-06,1.643431130160522e-05
2020-03-09,1.3073764350224337e-05
2020-03-10,1.5446208866176647e-05
2020-03-11,1.4576476765171265e-05
2020-03-12,1.081863128815641e-05
2020-03-13,9.631206425053662e-06
2020-03-16,7.334514522172597e-06
2020-03-17,6.5422448567442615e-06
2020-03-18,1.1904584140687291e-07
2020-03-19,-1.111266112574505e-06
2020-03-20,-1.3097390636485073e-06
2020-03-23,-1.587617836529276e-06
2020-03-24,-1.3097390636485073e-06
2020-03-25,-2.7787466050366305e-06
2020-03-26,-4.168846879260002e-06
2020-03-27,-2.302252303687524e-06
2020-03-30,5.158396307880508e-07
2020-03-31,1.1902983365619235e-06
2020-04-01,2.499215993712056e-06
2020-04-02,2.578530378549715e-06
2020-04-03,2.3009226801651295e-06
2020-04-06,2.3802411603934814e-06
2020-04-07,5.076130181524974e-06
2020-04-08,7.334514522172597e-06
2020-04-09,8.324629954037377e-06
2020-04-13,7.92861354415031e-06
2020-04-14,6.5422448567442615e-06
2020-04-15,4.560880549009383e-06
2020-04-16,4.362689823400601e-06
2020-04-17,4.085206420478826e-06
2020-04-20,2.7768098762592786e-06
2020-04-21,3.886992030022185e-06
2020-04-22,3.6887680732178296e-06
2020-04-23,3.6887680732178296e-06
2020-04-24,3.9662790878303156e-06
2020-04-27,3.6887680732178296e-06
2020-04-28,3.3715888723140353e-06
2020-04-29,3.569828905813921e-06
2020-04-30,3.569828905813921e-06
2020-05-01,3.6887680732178296e-06
2020-05-04,3.569828905813921e-06
2020-05-05,4.362689823400601e-06
2020-05-06,4.283410949712518e-06
2020-05-07,3.768058780329042e-06
2020-05-08,3.768058780329042e-06
2020-05-11,4.164489238123181e-06
2020-05-12,4.877965086302893e-06
2020-05-13,4.560880549009383e-06
2020-05-14,4.164489238123181e-06
2020-05-15,4.085206420478826e-06
2020-05-18,4.164489238123181e-06
2020-05-19,4.679790134076711e-06
2020-05-20,4.679790134076711e-06
2020-05-21,4.362689823400601e-06
2020-05-22,4.362689823400601e-06
2020-05-26,4.679790134076711e-06
2020-05-27,5.3535445796448755e-06
2020-05-28,5.472430214092938e-06
2020-05-29,5.076130181524974e-06
2020-06-01,5.076130181524974e-06
2020-06-02,5.7498170200620535e-06
2020-06-03,5.868691420829464e-06
2020-06-04,5.551685726690181e-06
2020-06-05,5.7498170200620535e-06
2020-06-08,6.066806950366654e-06
2020-06-09,6.5422448567442615e-06
2020-06-10,6.5422448567442615e-06
2020-06-11,6.066806950366654e-06
2020-06-12,5.947939051065276e-06
2020-06-15,6.146050639976863e-06
2020-06-16,6.344152377879553e-06
